,f1,ap
0,0.7887323943661971,0.8352631504303305
1,0.7297297297297298,0.8344214218375101
2,0.8055555555555556,0.8459772876967406
3,0.7878787878787877,0.9136781076309082
4,0.7297297297297298,0.7963236744466212
5,0.7272727272727272,0.800175584093749
6,0.6567164179104478,0.8252760417759458
7,0.6984126984126984,0.7836276906327388
8,0.7142857142857144,0.8099172090603236
9,0.8059701492537312,0.8776438265319664
10,0.75,0.8174246154353064
11,0.75,0.8632051170080008
12,0.7246376811594203,0.8753795327584668
13,0.7058823529411765,0.7672837934751403
14,0.7631578947368423,0.7839129950960363
15,0.7272727272727272,0.7544633498703903
16,0.7142857142857144,0.7710327355605995
17,0.7941176470588235,0.8810486110828645
18,0.8219178082191781,0.8983156088870942
19,0.823529411764706,0.9080937527658045
20,0.6451612903225806,0.7531098378716061
21,0.7164179104477612,0.7852073426715189
22,0.746268656716418,0.8539978128611928
23,0.732394366197183,0.8543307854569078
24,0.732394366197183,0.7562161523112546
25,0.7826086956521738,0.8751748610990993
26,0.8108108108108109,0.8554340469355439
27,0.8108108108108109,0.8508351811450838
28,0.7058823529411765,0.8481204276534307
29,0.7397260273972601,0.8340125500339505
