,F1_record,AP_record
0,0.7499999999999999,0.7960812715795124
1,0.8767123287671234,0.9377986760741956
2,0.7142857142857143,0.7881652801349639
3,0.7792207792207793,0.9044859201715538
4,0.8169014084507042,0.8784436358547595
5,0.7792207792207793,0.896561305001111
6,0.8285714285714286,0.9224364801221926
7,0.8571428571428571,0.864410031789619
8,0.8470588235294118,0.8997881975135217
9,0.8461538461538461,0.9049995767392173
10,0.736842105263158,0.8752563680718413
11,0.8470588235294116,0.9327110383048252
12,0.8461538461538461,0.8989571942790149
13,0.8421052631578947,0.909511535021003
14,0.810126582278481,0.8740081505810865
15,0.775,0.8513335943299996
16,0.7671232876712328,0.9051474372968334
17,0.8333333333333333,0.8870404345255944
18,0.8157894736842105,0.8073839541817898
19,0.7647058823529411,0.8767847637848379
20,0.7948717948717948,0.8360766172220933
21,0.868421052631579,0.9231567557683
22,0.8461538461538461,0.9264758536487984
23,0.7631578947368421,0.8239335380165494
24,0.8157894736842104,0.8894025278238981
25,0.7951807228915663,0.8986464704875287
26,0.8205128205128205,0.891212629546634
27,0.8648648648648648,0.8796001468250199
28,0.7466666666666666,0.8777765066400405
29,0.6829268292682927,0.8042814934250122
